empresa,faturamento_empresa_brl,produto,tipo_cliente,mercado_principal,indice_concorrencia_1a5,indice_valor_agregado_1a5,margem_media_percentual,indice_complexidade_produtiva_1a5,indice_capex_1a5,indice_escalabilidade_1a5,indice_exigencia_regulatoria_1a5,certificacoes_principais,indice_compatibilidade_refugo_1a5,indice_compatibilidade_operacao_fazenda_1a5
MangaTech Foods,760000000.0,Pectina,B2B,Interno,3.0,1.5,25.11,2.0,3.0,1.0,1.0,MAPA,1.0,5.0
BioManga Circular,120000000.0,Aroma / extrato natural,B2C,Interno,3.0,1.5,31.61,1.0,4.0,2.0,2.0,Internacional,1.0,1.0
Cutrale,30000000000.0,Biocomposto / fertilizante orgânico,B2B,Interno,5.0,3.5,33.56,3.0,1.0,3.0,4.0,Nenhuma,3.0,1.0
JBS Ingredients,375000000000.0,Biocomposto / fertilizante orgânico,B2B,Ambos,3.0,3.5,47.52,4.0,2.0,5.0,3.0,ISO/HACCP,1.0,2.0
BioManga Circular,120000000.0,Snack de manga desidratada,B2B,Ambos,3.0,2.5,16.07,3.0,4.0,2.0,2.0,ANVISA,5.0,2.0
MangaVale Alimentos,4200000000.0,Suco pronto (NFC),B2B,Interno,3.0,2.0,37.08,3.0,1.0,2.0,1.0,Nenhuma,1.0,2.0
Duas Rodas,4200000000.0,Purê de manga asséptico,B2B,Interno,4.0,1.5,16.9,2.0,4.0,2.0,1.0,ISO/HACCP,2.0,4.0
AgroDoce Nordeste,220000000.0,Cubos IQF,B2B,Externo,3.0,2.5,43.28,3.0,5.0,2.0,2.0,ISO/HACCP,2.0,1.0
VerdePulp Brasil,310000000.0,Geleia/compota,B2B,Interno,2.0,2.0,38.66,2.0,3.0,3.0,2.0,ISO/HACCP,2.0,2.0
Citrosuco,25000000000.0,Ração / ingrediente para ração animal,B2B,Externo,4.0,2.0,15.02,3.0,2.0,3.0,1.0,ANVISA,3.0,1.0
Fazenda Sol do Vale,180000000.0,Bebida funcional com manga,B2C,Interno,3.0,3.0,40.41,4.0,1.0,3.0,2.0,ANVISA,4.0,2.0
nao informado,53000000000.0,Pectina,B2C,Interno,1.0,3.0,43.29,3.0,4.0,4.0,3.0,MAPA,2.0,5.0
Ambev (bebidas),72000000000.0,Subproduto industrial de bagaço processado,B2B,Interno,1.0,4.0,14.54,5.0,4.0,2.0,3.0,MAPA,1.0,2.0
MangaTech Foods,4200000000.0,Purê de manga asséptico,B2B,Externo,2.0,2.5,35.08,2.0,4.0,3.0,3.0,Nenhuma,3.0,2.0
Bunge Brasil,95000000000.0,Esfoliante natural,B2C,Ambos,1.0,4.0,38.88,3.0,3.0,3.0,5.0,Internacional,3.0,2.0
TropFruit Ingredients,650000000.0,Pó de manga (spray-dried),B2C,Externo,3.0,2.0,41.29,2.0,3.0,3.0,2.0,ISO/HACCP,2.0,3.0
VerdePulp Brasil,310000000.0,Pectina,B2B,Externo,3.0,3.0,39.02,2.0,3.0,2.0,3.0,ANVISA,5.0,4.0
MangaTech Foods,760000000.0,Cubos IQF,B2B,Ambos,2.0,3.5,18.22,2.0,2.0,1.0,5.0,ANVISA,3.0,1.0
NordFruit Export,540000000.0,Chutney de manga,B2B,Interno,2.0,4.0,26.36,3.0,3.0,4.0,5.0,MAPA,1.0,3.0
Ambev (bebidas),72000000000.0,Esfoliante natural,B2B,Ambos,4.0,2.5,26.14,2.0,3.0,4.0,3.0,MAPA,1.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Manga desidratada em pedaços,B2B,Interno,2.0,2.0,12.84,2.0,4.0,3.0,2.0,Nenhuma,2.0,1.0
VerdePulp Brasil,310000000.0,Polpa congelada,B2C,Ambos,2.0,3.0,31.29,1.0,4.0,3.0,5.0,ANVISA,2.0,1.0
AgroDoce Nordeste,220000000.0,Polpa congelada,B2C,nao informado,2.0,3.0,20.05,3.0,5.0,2.0,3.0,ISO/HACCP,1.0,4.0
nao informado,220000000.0,Molho agridoce / culinário,B2B,Externo,4.0,3.0,39.25,4.0,5.0,4.0,2.0,ISO/HACCP,1.0,1.0
Cargill Brasil,115000000000.0,Sorbet / picolé,B2B,Externo,3.0,2.5,11.44,3.0,4.0,3.0,2.0,Internacional,4.0,3.0
NordFruit Export,540000000.0,Manga desidratada em pedaços,B2B,Externo,2.0,4.0,18.39,5.0,3.0,2.0,3.0,Internacional,3.0,2.0
VerdePulp Brasil,310000000.0,Biogás / energia,B2B,nao informado,3.0,3.0,41.01,3.0,1.0,2.0,3.0,ISO/HACCP,1.0,1.0
MangaVale Alimentos,480000000.0,Subproduto industrial de bagaço processado,B2B,Interno,1.0,4.0,27.4,5.0,2.0,4.0,3.0,MAPA,3.0,3.0
MangaVale Alimentos,480000000.0,nao informado,B2B,Interno,3.0,2.5,24.05,3.0,3.0,1.0,2.0,MAPA,2.0,3.0
Bunge Brasil,95000000000.0,Ingrediente antioxidante,B2B,Interno,3.0,2.0,38.42,3.0,3.0,3.0,1.0,ISO/HACCP,4.0,1.0
Cutrale,30000000000.0,Óleo / manteiga de semente de manga,B2B,Externo,3.0,2.5,18.41,3.0,5.0,2.0,2.0,Nenhuma,1.0,5.0
Ambev (bebidas),72000000000.0,nao informado,B2B,Ambos,2.0,3.0,36.53,3.0,2.0,3.0,3.0,ISO/HACCP,2.0,3.0
Cutrale,30000000000.0,Biocomposto / fertilizante orgânico,B2C,Externo,4.0,3.5,30.77,4.0,1.0,5.0,3.0,ANVISA,3.0,5.0
TropFruit Ingredients,650000000.0,Aroma / extrato natural,B2B,Ambos,3.0,1.5,27.93,2.0,3.0,3.0,1.0,ISO/HACCP,1.0,1.0
VerdePulp Brasil,310000000.0,Manga desidratada em pedaços,B2B,Externo,3.0,3.0,42.4,3.0,4.0,5.0,3.0,ISO/HACCP,4.0,1.0
Citrosuco,25000000000.0,Sorbet / picolé,B2C,Interno,1.0,4.0,40.43,3.0,4.0,3.0,5.0,ISO/HACCP,1.0,3.0
Louis Dreyfus Company Brasil,18000000000.0,Suco pronto (NFC),B2C,Externo,3.0,2.0,37.5,2.0,2.0,2.0,3.0,ISO/HACCP,1.0,1.0
BRF Ingredients,53000000000.0,Cubos IQF,B2B,Interno,3.0,2.5,40.64,4.0,3.0,4.0,1.0,Nenhuma,4.0,5.0
nao informado,4200000000.0,Sorbet / picolé,B2B,Interno,3.0,1.0,26.85,1.0,4.0,3.0,3.0,ANVISA,4.0,5.0
TropFruit Ingredients,650000000.0,Aroma / extrato natural,B2B,Ambos,2.0,3.0,22.21,3.0,2.0,3.0,3.0,ISO/HACCP,1.0,4.0
VerdePulp Brasil,310000000.0,Sorbet / picolé,B2B,Interno,3.0,3.0,8.68,1.0,3.0,5.0,2.0,ANVISA,1.0,1.0
TropFruit Ingredients,650000000.0,Geleia/compota,B2B,Externo,5.0,2.5,43.49,3.0,3.0,1.0,3.0,ISO/HACCP,2.0,4.0
nao informado,120000000.0,Sabonete / hidratante com manga,B2B,Externo,5.0,3.5,44.29,3.0,2.0,4.0,4.0,ISO/HACCP,1.0,4.0
Cargill Brasil,115000000000.0,Bebida alcoólica / fermentado,B2B,Externo,5.0,2.5,21.31,3.0,1.0,3.0,2.0,Nenhuma,2.0,1.0
BRF Ingredients,53000000000.0,Bebida funcional com manga,B2B,Interno,2.0,3.0,31.47,4.0,3.0,2.0,2.0,MAPA,1.0,2.0
MangaTech Foods,760000000.0,Base cosmética (extrato),B2B,Ambos,2.0,3.0,32.06,1.0,2.0,3.0,5.0,nao informado,2.0,5.0
Cutrale,30000000000.0,Base cosmética (extrato),nao informado,Interno,3.0,2.5,27.93,2.0,4.0,2.0,3.0,MAPA,1.0,1.0
Bunge Brasil,95000000000.0,Subproduto industrial de bagaço processado,B2C,Externo,1.0,3.5,34.24,2.0,4.0,4.0,5.0,nao informado,4.0,2.0
Duas Rodas,4200000000.0,Manga desidratada em pedaços,B2B,Ambos,4.0,2.5,21.44,3.0,5.0,3.0,2.0,MAPA,2.0,3.0
BioManga Circular,120000000.0,Purê de manga asséptico,B2C,Interno,5.0,4.0,28.18,3.0,4.0,4.0,5.0,ANVISA,1.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,Sorbet / picolé,B2B,Externo,3.0,2.5,17.37,4.0,2.0,4.0,1.0,MAPA,2.0,2.0
MangaTech Foods,760000000.0,Ingrediente antioxidante,B2B,Ambos,3.0,3.0,40.28,3.0,2.0,1.0,3.0,ANVISA,3.0,3.0
VerdePulp Brasil,310000000.0,Óleo / manteiga de semente de manga,B2B,Interno,3.0,2.5,29.53,3.0,2.0,4.0,2.0,ANVISA,5.0,1.0
Cutrale,30000000000.0,Ração / ingrediente para ração animal,B2C,Externo,2.0,2.0,35.43,2.0,3.0,3.0,2.0,ISO/HACCP,3.0,5.0
JBS Ingredients,375000000000.0,Biogás / energia,B2B,Interno,5.0,4.0,21.1,4.0,3.0,5.0,4.0,nao informado,2.0,1.0
Ambev (bebidas),72000000000.0,Polpa congelada,B2B,Interno,2.0,3.5,24.98,4.0,5.0,3.0,3.0,ANVISA,4.0,2.0
Cargill Brasil,115000000000.0,Biogás / energia,B2B,Interno,3.0,3.0,22.74,4.0,2.0,2.0,2.0,Internacional,4.0,2.0
JBS Ingredients,375000000000.0,Fragrância para perfumaria,B2B,nao informado,1.0,2.5,20.5,3.0,5.0,1.0,1.0,MAPA,4.0,1.0
VerdePulp Brasil,310000000.0,Corante natural,B2B,Interno,4.0,3.5,13.71,4.0,4.0,3.0,3.0,Internacional,2.0,2.0
Citrosuco,25000000000.0,Ingrediente antioxidante,B2C,Interno,3.0,3.5,30.6,5.0,1.0,4.0,2.0,MAPA,2.0,2.0
TropFruit Ingredients,650000000.0,Pectina,B2C,Ambos,1.0,2.5,34.13,1.0,2.0,3.0,4.0,Nenhuma,1.0,2.0
Louis Dreyfus Company Brasil,18000000000.0,nao informado,B2C,Interno,3.0,3.0,17.02,4.0,1.0,2.0,3.0,ISO/HACCP,2.0,1.0
Ambev (bebidas),72000000000.0,Bebida alcoólica / fermentado,B2B,Ambos,5.0,5.0,49.13,5.0,1.0,2.0,5.0,Nenhuma,1.0,3.0
Cutrale,30000000000.0,Geleia/compota,nao informado,Interno,2.0,3.0,20.62,1.0,4.0,1.0,5.0,MAPA,2.0,2.0
Duas Rodas,4200000000.0,Pó de manga (spray-dried),B2B,Interno,3.0,2.5,23.49,3.0,5.0,3.0,2.0,ANVISA,5.0,1.0
TropFruit Ingredients,650000000.0,nao informado,B2C,Ambos,4.0,3.5,13.25,4.0,1.0,3.0,3.0,MAPA,2.0,3.0
MangaVale Alimentos,480000000.0,Ingrediente antioxidante,B2B,Externo,3.0,3.0,23.32,3.0,3.0,3.0,3.0,ISO/HACCP,4.0,4.0
Cutrale,30000000000.0,Bebida funcional com manga,B2B,Externo,3.0,2.5,27.93,3.0,3.0,2.0,2.0,Internacional,3.0,2.0
AgroDoce Nordeste,220000000.0,Chutney de manga,B2B,Interno,3.0,3.5,31.56,2.0,1.0,3.0,5.0,Nenhuma,4.0,1.0
VerdePulp Brasil,310000000.0,Esfoliante natural,B2B,Ambos,3.0,3.0,26.56,4.0,3.0,4.0,5.0,ISO/HACCP,2.0,2.0
Ambev (bebidas),72000000000.0,Ração / ingrediente para ração animal,B2B,Externo,2.0,3.0,20.9,3.0,2.0,3.0,3.0,ISO/HACCP,1.0,3.0
Fazenda Sol do Vale,180000000.0,Cubos IQF,B2B,Externo,2.0,2.5,22.98,3.0,3.0,3.0,3.0,ANVISA,1.0,1.0
JBS Ingredients,375000000000.0,Purê de manga asséptico,B2B,Externo,3.0,3.5,28.21,5.0,2.0,3.0,2.0,Internacional,1.0,1.0
AgroDoce Nordeste,220000000.0,Molho agridoce / culinário,nao informado,Externo,3.0,3.5,27.93,3.0,1.0,3.0,4.0,ISO/HACCP,1.0,1.0
Kerry do Brasil,9000000000.0,Base para néctar,B2C,Ambos,1.0,2.5,40.11,3.0,3.0,3.0,2.0,Internacional,2.0,2.0
Citrosuco,25000000000.0,Pectina,B2B,Externo,2.0,3.5,48.81,5.0,3.0,1.0,2.0,ISO/HACCP,2.0,1.0
Cargill Brasil,115000000000.0,Polpa congelada,B2B,Interno,4.0,2.0,35.15,1.0,3.0,3.0,3.0,ISO/HACCP,1.0,1.0
NordFruit Export,540000000.0,nao informado,B2B,Ambos,3.0,3.0,36.6,3.0,1.0,1.0,3.0,ANVISA,3.0,2.0
Louis Dreyfus Company Brasil,4200000000.0,Pó de manga (spray-dried),B2C,Interno,2.0,2.0,42.62,3.0,3.0,2.0,3.0,ISO/HACCP,1.0,2.0
TropFruit Ingredients,650000000.0,Fibra alimentar de manga,B2B,nao informado,4.0,2.5,38.07,1.0,2.0,2.0,4.0,ANVISA,1.0,1.0
VerdePulp Brasil,310000000.0,Bebida funcional com manga,B2B,nao informado,4.0,3.0,24.52,2.0,5.0,4.0,2.0,Nenhuma,3.0,1.0
MangaVale Alimentos,480000000.0,Biocomposto / fertilizante orgânico,B2B,Interno,3.0,2.5,44.06,3.0,2.0,3.0,2.0,Nenhuma,3.0,2.0
BioManga Circular,120000000.0,nao informado,B2C,Interno,1.0,3.0,28.9,2.0,4.0,4.0,4.0,Nenhuma,3.0,1.0
Bunge Brasil,95000000000.0,Base cosmética (extrato),B2C,Externo,3.0,2.5,28.07,2.0,4.0,3.0,3.0,Nenhuma,1.0,1.0
Duas Rodas,4200000000.0,Esfoliante natural,B2B,Interno,2.0,4.0,18.07,3.0,4.0,3.0,5.0,ISO/HACCP,3.0,2.0
MangaTech Foods,760000000.0,Óleo / manteiga de semente de manga,B2B,Interno,3.0,2.0,41.15,2.0,3.0,2.0,2.0,nao informado,5.0,2.0
Cargill Brasil,115000000000.0,Molho agridoce / culinário,B2B,Externo,3.0,2.0,20.33,2.0,1.0,1.0,2.0,Nenhuma,2.0,3.0
Fazenda Sol do Vale,180000000.0,Pectina,B2B,Interno,1.0,3.0,44.47,3.0,4.0,3.0,3.0,ANVISA,4.0,3.0
Kerry do Brasil,9000000000.0,Concentrado de manga,B2B,Interno,1.0,3.0,44.29,4.0,4.0,3.0,2.0,Internacional,5.0,2.0
Bunge Brasil,95000000000.0,Ingrediente antioxidante,B2B,Interno,3.0,3.0,17.44,3.0,2.0,2.0,3.0,Nenhuma,1.0,3.0
Ambev (bebidas),72000000000.0,Fibra alimentar de manga,B2C,Externo,3.0,3.0,14.5,3.0,1.0,2.0,3.0,MAPA,2.0,2.0
JBS Ingredients,375000000000.0,Ingrediente antioxidante,B2B,Externo,2.0,2.0,37.45,1.0,1.0,2.0,3.0,Nenhuma,1.0,1.0
MangaTech Foods,760000000.0,Geleia/compota,B2B,Interno,5.0,1.5,16.46,2.0,3.0,2.0,1.0,Internacional,2.0,5.0
MangaTech Foods,760000000.0,Base cosmética (extrato),B2B,Ambos,3.0,2.0,35.9,3.0,5.0,4.0,3.0,Nenhuma,1.0,4.0
Citrosuco,25000000000.0,Geleia/compota,B2B,Externo,2.0,1.5,29.91,2.0,3.0,2.0,1.0,ISO/HACCP,3.0,2.0
Cargill Brasil,115000000000.0,Esfoliante natural,B2B,Interno,2.0,2.5,16.11,1.0,2.0,1.0,4.0,nao informado,3.0,3.0
BioManga Circular,120000000.0,Sorbet / picolé,B2C,Interno,4.0,3.5,18.18,4.0,1.0,4.0,3.0,ANVISA,1.0,5.0
Cutrale,30000000000.0,Óleo / manteiga de semente de manga,B2C,Ambos,4.0,3.5,45.6,3.0,3.0,3.0,4.0,ISO/HACCP,1.0,3.0
BioManga Circular,120000000.0,Fragrância para perfumaria,B2B,Externo,4.0,4.0,38.56,3.0,3.0,2.0,5.0,Internacional,4.0,5.0
VerdePulp Brasil,310000000.0,Base cosmética (extrato),B2C,Ambos,4.0,3.5,41.02,3.0,3.0,2.0,4.0,Internacional,5.0,3.0
Cutrale,30000000000.0,Suco pronto (NFC),B2C,Ambos,3.0,2.0,15.73,2.0,4.0,2.0,2.0,ANVISA,2.0,5.0
Louis Dreyfus Company Brasil,18000000000.0,Óleo / manteiga de semente de manga,B2B,Ambos,3.0,4.5,46.21,4.0,3.0,1.0,5.0,MAPA,3.0,4.0
BioManga Circular,120000000.0,Corante natural,B2C,Interno,3.0,2.0,36.62,3.0,1.0,3.0,1.0,Nenhuma,2.0,2.0
TropFruit Ingredients,650000000.0,Bebida funcional com manga,nao informado,Externo,3.0,2.0,32.84,2.0,1.0,4.0,2.0,ANVISA,4.0,1.0
TropFruit Ingredients,650000000.0,Purê de manga asséptico,B2C,Interno,4.0,3.0,16.62,2.0,5.0,3.0,2.0,MAPA,4.0,2.0
Fazenda Sol do Vale,180000000.0,Subproduto industrial de bagaço processado,B2C,Externo,4.0,3.0,11.33,4.0,5.0,2.0,2.0,ANVISA,1.0,3.0
AgroDoce Nordeste,220000000.0,Base cosmética (extrato),B2B,Ambos,4.0,3.5,17.0,4.0,4.0,2.0,3.0,MAPA,2.0,3.0
Bunge Brasil,95000000000.0,Geleia/compota,B2B,Externo,5.0,3.0,35.36,3.0,2.0,3.0,3.0,Nenhuma,2.0,5.0
Ambev (bebidas),72000000000.0,Esfoliante natural,B2B,Interno,3.0,3.5,39.74,4.0,4.0,3.0,3.0,ISO/HACCP,1.0,5.0
Kerry do Brasil,9000000000.0,Base para néctar,B2B,Externo,2.0,2.0,30.81,1.0,2.0,4.0,3.0,MAPA,2.0,3.0
Cutrale,30000000000.0,Pó de manga (spray-dried),B2C,nao informado,2.0,3.0,35.87,3.0,5.0,2.0,3.0,ISO/HACCP,2.0,4.0
BRF Ingredients,53000000000.0,Bebida funcional com manga,B2B,Ambos,5.0,2.0,32.17,1.0,2.0,3.0,3.0,MAPA,5.0,4.0
JBS Ingredients,375000000000.0,Óleo / manteiga de semente de manga,B2B,Ambos,3.0,4.0,28.32,3.0,3.0,3.0,5.0,nao informado,1.0,4.0
Kerry do Brasil,9000000000.0,nao informado,B2C,Externo,1.0,2.5,41.24,3.0,3.0,2.0,2.0,ISO/HACCP,2.0,3.0
Cutrale,30000000000.0,Pó de manga (spray-dried),B2B,nao informado,2.0,3.5,35.32,5.0,3.0,4.0,2.0,nao informado,1.0,4.0
AgroDoce Nordeste,220000000.0,Bebida funcional com manga,B2B,Interno,3.0,2.5,33.73,1.0,3.0,4.0,3.0,ANVISA,1.0,2.0
Ambev (bebidas),72000000000.0,Base cosmética (extrato),B2C,Interno,4.0,3.5,26.53,5.0,4.0,3.0,2.0,ANVISA,1.0,4.0
BioManga Circular,120000000.0,Bebida alcoólica / fermentado,B2B,Ambos,3.0,1.5,21.64,2.0,2.0,4.0,1.0,MAPA,3.0,2.0
Duas Rodas,4200000000.0,Biocomposto / fertilizante orgânico,nao informado,Externo,2.0,3.0,41.59,4.0,1.0,2.0,3.0,Internacional,1.0,1.0
TropFruit Ingredients,650000000.0,Pectina,B2C,Interno,1.0,3.5,22.18,4.0,4.0,3.0,3.0,Nenhuma,4.0,2.0
Bunge Brasil,95000000000.0,Snack de manga desidratada,B2B,Externo,1.0,3.5,37.88,5.0,4.0,4.0,2.0,ANVISA,1.0,2.0
VerdePulp Brasil,310000000.0,Base para néctar,B2B,Interno,4.0,3.5,13.47,3.0,3.0,2.0,4.0,MAPA,1.0,3.0
nao informado,180000000.0,Sorbet / picolé,B2B,Interno,3.0,4.0,43.73,4.0,2.0,1.0,4.0,ANVISA,3.0,1.0
AgroDoce Nordeste,220000000.0,Pó de manga (spray-dried),B2B,Externo,3.0,3.0,29.44,4.0,3.0,2.0,2.0,ISO/HACCP,4.0,5.0
MangaVale Alimentos,480000000.0,Fibra alimentar de manga,B2B,Interno,4.0,2.5,43.92,3.0,3.0,3.0,2.0,Nenhuma,2.0,3.0
Bunge Brasil,95000000000.0,Cubos IQF,B2C,Interno,4.0,3.0,43.03,4.0,1.0,4.0,4.0,ISO/HACCP,2.0,4.0
Citrosuco,25000000000.0,Molho agridoce / culinário,B2C,Externo,4.0,3.0,11.47,4.0,1.0,4.0,2.0,MAPA,3.0,2.0
MangaVale Alimentos,480000000.0,Cubos IQF,B2C,Interno,4.0,1.5,37.67,1.0,2.0,3.0,2.0,Nenhuma,1.0,1.0
NordFruit Export,540000000.0,Sabonete / hidratante com manga,B2B,Interno,4.0,3.5,48.12,3.0,3.0,3.0,4.0,MAPA,1.0,2.0
Citrosuco,4200000000.0,Ingrediente antioxidante,B2C,Interno,4.0,2.5,37.1,2.0,4.0,2.0,3.0,Nenhuma,4.0,2.0
Kerry do Brasil,9000000000.0,nao informado,B2B,Externo,4.0,3.0,14.1,3.0,4.0,2.0,5.0,ISO/HACCP,2.0,5.0
MangaTech Foods,760000000.0,Sorbet / picolé,B2C,Interno,3.0,2.5,41.7,3.0,2.0,2.0,2.0,Nenhuma,2.0,1.0
VerdePulp Brasil,4200000000.0,Aroma / extrato natural,B2C,Externo,4.0,3.0,34.47,4.0,4.0,5.0,2.0,ISO/HACCP,3.0,2.0
BRF Ingredients,53000000000.0,Corante natural,B2B,Interno,1.0,3.5,44.9,3.0,3.0,3.0,4.0,ISO/HACCP,3.0,1.0
Louis Dreyfus Company Brasil,18000000000.0,Pectina,B2B,Ambos,5.0,2.5,24.07,2.0,1.0,5.0,3.0,nao informado,3.0,1.0
BioManga Circular,120000000.0,Biocomposto / fertilizante orgânico,B2B,Interno,4.0,3.0,38.14,1.0,4.0,2.0,1.0,ANVISA,4.0,1.0
Fazenda Sol do Vale,180000000.0,Suco pronto (NFC),nao informado,Ambos,4.0,4.5,35.68,5.0,1.0,3.0,4.0,nao informado,3.0,3.0
Louis Dreyfus Company Brasil,18000000000.0,Concentrado de manga,B2B,Externo,2.0,3.0,18.51,3.0,3.0,3.0,3.0,ISO/HACCP,4.0,1.0
Kerry do Brasil,9000000000.0,Base cosmética (extrato),B2B,Ambos,1.0,3.0,27.93,3.0,1.0,2.0,3.0,Nenhuma,4.0,5.0
Bunge Brasil,95000000000.0,Geleia/compota,B2B,Interno,1.0,2.5,16.72,3.0,3.0,1.0,2.0,Nenhuma,3.0,4.0
VerdePulp Brasil,310000000.0,Ração / ingrediente para ração animal,B2C,Ambos,1.0,3.5,39.82,3.0,2.0,1.0,4.0,ANVISA,1.0,2.0
BioManga Circular,120000000.0,Base para néctar,nao informado,Interno,4.0,2.5,14.69,3.0,2.0,4.0,2.0,Nenhuma,1.0,2.0
NordFruit Export,540000000.0,nao informado,B2C,Ambos,3.0,3.0,21.24,3.0,4.0,1.0,2.0,Internacional,1.0,4.0
Citrosuco,25000000000.0,Sorbet / picolé,B2C,Ambos,4.0,3.5,15.88,4.0,4.0,3.0,3.0,nao informado,3.0,2.0
JBS Ingredients,375000000000.0,Aroma / extrato natural,B2B,Interno,3.0,4.5,50.32,4.0,2.0,4.0,5.0,Nenhuma,3.0,3.0
Citrosuco,25000000000.0,nao informado,B2B,Interno,2.0,3.0,31.5,2.0,5.0,5.0,3.0,MAPA,1.0,2.0
Cutrale,30000000000.0,Polpa congelada,B2B,Interno,3.0,3.0,30.69,2.0,5.0,3.0,3.0,Nenhuma,3.0,2.0
MangaTech Foods,760000000.0,Concentrado de manga,B2B,Interno,3.0,2.5,43.93,2.0,1.0,2.0,3.0,Nenhuma,3.0,1.0
TropFruit Ingredients,650000000.0,Molho agridoce / culinário,B2B,Externo,2.0,2.0,40.7,3.0,4.0,4.0,1.0,Nenhuma,1.0,4.0
Kerry do Brasil,9000000000.0,Biogás / energia,B2C,Externo,2.0,2.0,39.77,2.0,1.0,4.0,2.0,Nenhuma,2.0,3.0
NordFruit Export,540000000.0,Base para néctar,B2B,Ambos,1.0,3.0,19.04,3.0,3.0,1.0,3.0,Internacional,4.0,1.0
MangaTech Foods,760000000.0,Bebida funcional com manga,B2B,Interno,2.0,3.0,29.83,3.0,2.0,2.0,2.0,MAPA,3.0,2.0
Citrosuco,25000000000.0,Sabonete / hidratante com manga,B2B,Interno,3.0,2.0,30.81,2.0,2.0,4.0,2.0,ISO/HACCP,1.0,3.0
Bunge Brasil,95000000000.0,Snack de manga desidratada,B2B,Interno,2.0,2.5,13.28,2.0,3.0,3.0,3.0,MAPA,1.0,1.0
Kerry do Brasil,9000000000.0,Suco pronto (NFC),B2B,nao informado,2.0,3.0,13.57,3.0,5.0,4.0,3.0,Internacional,2.0,4.0
TropFruit Ingredients,650000000.0,Biogás / energia,B2B,Ambos,2.0,2.5,40.26,3.0,2.0,1.0,2.0,MAPA,1.0,5.0
BRF Ingredients,53000000000.0,Base cosmética (extrato),B2B,Interno,2.0,3.0,24.0,3.0,2.0,5.0,3.0,nao informado,2.0,1.0
Fazenda Sol do Vale,180000000.0,Pectina,B2C,Externo,3.0,3.5,40.58,4.0,3.0,3.0,3.0,ISO/HACCP,2.0,2.0
nao informado,18000000000.0,Sorbet / picolé,B2C,Interno,5.0,3.5,34.12,5.0,2.0,1.0,2.0,MAPA,1.0,1.0
Kerry do Brasil,9000000000.0,Base para néctar,B2B,Interno,3.0,1.5,13.45,2.0,1.0,3.0,1.0,ISO/HACCP,1.0,2.0
NordFruit Export,540000000.0,Base cosmética (extrato),B2B,Interno,4.0,4.0,24.78,5.0,3.0,2.0,3.0,Nenhuma,5.0,4.0
MangaVale Alimentos,480000000.0,Cubos IQF,B2B,Externo,3.0,2.5,39.29,3.0,4.0,4.0,2.0,ANVISA,3.0,2.0
BRF Ingredients,53000000000.0,Ração / ingrediente para ração animal,B2B,Externo,2.0,3.5,48.94,3.0,3.0,3.0,5.0,MAPA,3.0,1.0
VerdePulp Brasil,310000000.0,Concentrado de manga,B2C,Interno,5.0,2.5,36.06,3.0,2.0,4.0,2.0,ISO/HACCP,1.0,2.0
Bunge Brasil,95000000000.0,Polpa congelada,B2B,Ambos,2.0,1.5,20.44,2.0,1.0,4.0,1.0,nao informado,3.0,3.0
Fazenda Sol do Vale,180000000.0,Chutney de manga,B2B,Ambos,4.0,3.0,13.74,4.0,5.0,3.0,2.0,MAPA,1.0,3.0
BioManga Circular,120000000.0,Snack de manga desidratada,B2B,Externo,3.0,3.5,35.1,4.0,1.0,4.0,3.0,MAPA,3.0,1.0
JBS Ingredients,375000000000.0,Ingrediente antioxidante,B2B,Interno,3.0,3.0,45.95,5.0,5.0,3.0,1.0,MAPA,1.0,3.0
AgroDoce Nordeste,220000000.0,Óleo / manteiga de semente de manga,B2B,Interno,2.0,3.0,42.64,3.0,5.0,3.0,3.0,ANVISA,4.0,3.0
VerdePulp Brasil,310000000.0,Chutney de manga,B2C,Externo,3.0,2.5,16.14,3.0,4.0,1.0,2.0,MAPA,3.0,1.0
Bunge Brasil,95000000000.0,Pectina,B2C,Externo,4.0,4.0,20.46,3.0,4.0,3.0,5.0,ANVISA,1.0,4.0
Louis Dreyfus Company Brasil,18000000000.0,Biogás / energia,B2B,Interno,1.0,2.5,12.45,3.0,4.0,2.0,2.0,Nenhuma,2.0,1.0
Cargill Brasil,115000000000.0,Geleia/compota,nao informado,Interno,3.0,3.0,23.07,5.0,5.0,3.0,1.0,MAPA,2.0,2.0
Cutrale,30000000000.0,Purê de manga asséptico,nao informado,Interno,4.0,3.0,15.74,1.0,1.0,3.0,5.0,ANVISA,2.0,1.0
Louis Dreyfus Company Brasil,18000000000.0,Fibra alimentar de manga,B2C,Ambos,1.0,2.0,19.59,3.0,2.0,3.0,1.0,ISO/HACCP,1.0,1.0
VerdePulp Brasil,310000000.0,Aroma / extrato natural,B2C,Interno,3.0,2.0,13.7,1.0,3.0,3.0,3.0,Nenhuma,2.0,3.0
Fazenda Sol do Vale,180000000.0,Geleia/compota,B2B,Externo,2.0,3.5,20.18,4.0,1.0,3.0,3.0,Internacional,3.0,3.0
Bunge Brasil,95000000000.0,Manga desidratada em pedaços,B2C,Ambos,4.0,2.5,21.86,2.0,1.0,4.0,3.0,MAPA,3.0,4.0
